Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,Chlorophyll-A,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,Qual Code,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   ,Qual Code, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,Qual Code, mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05-04 00:00:00,WW_12,9.0,18.1,7.0,0.243,0.0,1.03,0.0,70.71,,686.0,22.0,4.0,19.4,244.0,187.0,0.0,6.2,0.0,0.0,0.0,,2.26,<4.63,40.0,,18.8,,0.0,0.0,0.0404,0.0364,0.091,0.076,0.0,0.0,65.74,69.9,0.0,0.0,0.0,0.0,0.0,0.88,0.041,0.0,0.0,27.84,29.96,0.1119,,0.0435,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,2.04,,,,,,
2009-05-04 00:00:00,WW_13,7.6,15.0,7.6,1.789,0.0,0.93,0.0,36.28,,430.0,16.0,4.0,32.2,172.0,92.0,0.21,6.2,0.0,0.0,0.0,,<2.44,<5.12,30.0,,10.4,,0.0,0.0,0.0309,0.0245,0.059,0.054,0.0,0.0,46.74,49.64,0.0,0.0,0.0,0.0,0.0,1.43,0.06,0.0,0.0,20.97,22.194,0.0344,,0.012,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,3.56,,,,,,
2009-05-04 00:00:00,WW_77,7.7,15.3,8.0,0.226,0.0,0.89,0.0,45.63,,898.0,10.0,4.0,8.38,195.0,376.0,0.21,4.9,0.0,0.0,0.0,,<3.63,<5.09,530.0,,16.4,,0.0,0.0,0.0545,0.0474,0.093,0.086,0.0,0.0,69.34,66.39,0.0,0.0,0.0,0.0,0.0,0.55,0.087,0.0,0.0,27.11,26.334,0.1336,,0.0914,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04,,,,,,
2009-05-04 00:00:00,WW_78,8.7,14.3,7.6,6.225,0.15,0.96,0.36,90.73,,794.0,3.0,3.0,2.72,266.0,230.0,0.47,4.5,0.0,0.0,0.0,,<4.51,6.6,40.0,,4.8,,0.0,0.0,0.036,0.0361,0.151,0.165,0.0,0.0,89.62,91.99,0.0,0.0,0.0,0.0,0.0,0.11,0.047,0.0,0.0,34.89,37.366,0.0302,,0.0278,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.032,1.5,,,,,,
2009-05-04 00:00:00,WW_17,8.2,15.0,8.1,1.685,0.1,1.12,0.0,35.83,,436.0,17.0,3.0,32.4,186.0,105.0,0.21,6.2,0.0,0.0,0.0,,1.88,5.03,40.0,,9.6,,0.0,0.0,0.0311,0.0259,0.052,0.065,0.0,0.0,48.35,50.41,0.0034,0.0,0.0,0.0,0.0,1.41,0.065,0.0,0.0,21.51,22.163,0.0365,,0.0128,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.67,,,,,,
2009-05-04 00:00:00,WW_19,7.5,15.6,8.0,1.748,0.1,1.1,0.0,39.21,,460.0,19.0,4.0,31.7,179.0,105.0,0.22,6.0,0.0,0.0,0.0,,<2.08,<4.91,50.0,,14.1,,0.0,0.0,0.0311,0.026,0.054,0.062,0.0,0.0,48.48,52.03,0.0041,0.0,0.0,0.0,0.0,1.32,0.057,0.0,0.0,21.34,22.795,0.0354,,0.0121,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,,,,,,
2009-05-04 00:00:00,WW_20,8.4,15.3,8.0,1.742,0.0,0.91,0.0,38.52,,462.0,18.0,4.0,33.1,189.0,112.0,0.22,6.0,0.0,0.0,0.0,,<2.95,6.46,70.0,,13.3,,0.0,0.0,0.0318,0.0258,0.053,0.061,0.0,0.0,51.06,49.85,0.0052,0.0,0.0,0.0,0.0,1.52,0.061,0.0,0.0,22.75,21.983,0.0615,,0.0238,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,4.94,,,,,,
2009-05-04 00:00:00,WW_24,8.4,15.1,7.7,2.423,0.14,1.19,0.36,88.56,,766.0,28.0,6.0,18.5,229.0,245.0,0.27,4.9,0.0,0.0,0.0,,2.88,<6.81,50.0,40.0,19.4,,0.0,0.0,0.04,0.0366,0.092,0.103,0.0,0.0,74.5,78.57,0.0046,0.0,0.0,0.0,0.0,0.87,0.05,0.0,0.0,28.68,31.262,0.0649,,0.0328,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.013,5.31,,,,,,
